x,y,z,Primary_SGDID
,,,S000000029
104.416,78.543,15.483,S000033439
104.5195,78.7165,15.5415,S000033439
,,,S000033439
104.5195,78.7165,15.5415,S000000028
104.623,78.89,15.6,S000000028
,,,S000000028
104.623,78.89,15.6,
104.838,79.228,15.732,
,,,
104.838,79.228,15.732,
105.062,79.56,15.877,
,,,
105.062,79.56,15.877,
105.293,79.884,16.038,
,,,
105.293,79.884,16.038,
105.532,80.2,16.212,
,,,
105.532,80.2,16.212,
105.78,80.51,16.401,
,,,
105.78,80.51,16.401,
106.036,80.812,16.604,
,,,
106.036,80.812,16.604,
106.3,81.106,16.822,
,,,
106.3,81.106,16.822,
106.56,81.396,17.051,
,,,
106.56,81.396,17.051,S000000027
106.805,81.682,17.288,S000000027
,,,S000000027
106.805,81.682,17.288,S000000026
107.035,81.965,17.534,S000000026
,,,S000000026
107.035,81.965,17.534,
107.25,82.245,17.788,
,,,
107.25,82.245,17.788,
107.449,82.522,18.05,
,,,
107.449,82.522,18.05,
107.633,82.796,18.321,
,,,
107.633,82.796,18.321,S000000025
107.801,83.066,18.6,S000000025
,,,S000000025
107.801,83.066,18.6,
107.954,83.334,18.887,
,,,
107.954,83.334,18.887,S000028730
108.092,83.598,19.182,S000028730
,,,S000028730
108.092,83.598,19.182,
108.215,83.86,19.486,
,,,
108.215,83.86,19.486,
108.322,84.118,19.799,
,,,
108.322,84.118,19.799,
108.414,84.373,20.119,
,,,
108.414,84.373,20.119,
108.49,84.625,20.448,
,,,
108.49,84.625,20.448,
108.551,84.874,20.786,
,,,
108.551,84.874,20.786,S000120654
108.574,84.997,20.9585,S000120654
,,,S000120654
108.574,84.997,20.9585,S000119380
108.597,85.12,21.131,S000119380
,,,S000119380
108.597,85.12,21.131,S000000024
108.628,85.363,21.485,S000000024
,,,S000000024
108.628,85.363,21.485,
