YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YMR093W,-2.373,-2.983,-2.825,-2.746,-3.204,-1.01,-0.789,-1.113
YBL107C,-0.187,0.008,-0.136,0.36,0.083,0.007,0.365,0.509
YDR423C,0.513,1.197,1.174,0.985,0.883,0.86,0.47,0.427
YFL057C,0.217,0.767,0.115,0.4345,-0.836,-0.0125,-0.3535,0.253
YBR006W,0.99,2.372,3.271,2.659,3.024,2.352,1.221,1.143
YAL034C,1.215,1.736,1.672,0.981,-0.392,0.296,0.024,-0.357
YNL036W,3.429,4.767,4.297,2.6817,4.109,2.262,-0.669,-0.491
YBR167C,0.087,0.208,-0.292,0.016,-0.263,-0.109,0.149,0.096
YDR302W,-0.055,0.258,0.026,-0.411,-0.438,-0.639,-0.271,0.086
YDR128W,-0.3905,-1.1205,-0.2745,-0.3125,-0.665,-0.567,-0.346,-0.645
YHR097C,1.622,3.3555,2.3416,4.207,2.8494,2.398,1.4235,1.7335
YGL139W,-0.764,-0.92,-0.611,-0.93,-0.986,-1.0,-0.73,-0.818
YDR202C,0.741,1.448,1.33,1.454,1.381,-0.061,0.521,0.74
YGR246C,0.0425,0.31,-0.339,-0.2765,-0.668,-0.162,-0.086,-0.1075
YGR171C,-0.1075,-0.1145,1.846,0.668,0.3625,0.1305,0.173,0.277
YER054C,2.7015,4.318,1.7915,3.606,3.1036,2.5071,-1.665,1.5526
YPL242C,0.7145,0.078,0.4465,1.043,-0.485,0.166,0.1585,0.743
YJL028W,1.559,1.441,0.1005,0.9885,-0.9885,-0.1915,-0.5485,-1.172
YOR127W,-0.044,-0.649,-0.454,-0.4875,-0.817,2.059,-0.859,-0.687
YGL081W,1.096,1.315,1.463,1.781,1.216,0.751,0.818,0.69
YJL084C,0.2965,0.054,0.563,2.0745,0.203,-0.4115,-0.2045,-0.4535
YJL074C,-0.0835,-0.6875,-0.693,0.8905,-0.6545,-0.676,0.259,-0.239
YKL094W,0.706,1.703,1.6145,1.5315,1.2045,0.723,0.8775,0.8215
YLR055C,0.056,0.196,0.272,1.902,-0.193,-0.139,-0.053,-0.252
YFL045C,-0.086,-0.265,-0.91,-1.407,-1.684,-0.923,-0.437,-0.47
YBR297W,1.192,1.369,1.958,1.372,1.089,0.183,-0.561,-0.38
YOL155C,0.682,1.474,2.819,2.529,2.349,2.546,0.425,0.146
YDR033W,-0.041,0.049,-0.165,-0.612,-1.035,-0.004,-0.761,-0.397
YPL124W,0.811,1.021,0.174,4.379,0.454,-1.027,0.358,0.206
YGR271C-A,-1.5565,-1.24,-2.097,-1.5415,-2.409,-1.124,-0.7885,-0.391
YGR198W,-0.092,-0.009,-0.309,-0.3828,-0.524,-0.523,-0.4765,-0.5245
YGL162W,0.301,-0.239,0.201,1.353,-0.193,-0.017,-0.201,-0.393
YMR227C,0.024,-0.131,-0.15,0.104,0.231,0.417,0.41,0.463
YDL006W,0.175,0.178,-0.097,0.908,-0.093,-0.172,-0.079,0.223
YLR431C,0.166,0.063,0.492,0.938,0.534,-0.295,0.57,0.358
YBR265W,-0.133,-0.269,-0.357,-0.65,-0.536,-0.583,0.014,-0.106
YJL057C,1.7875,2.413,2.575,2.9385,2.159,1.6425,0.7755,0.853
YMR272C,-0.169,0.588,0.813,0.4493,0.05,0.377,-0.369,-1.359
YBR063C,0.066,0.577,0.445,0.4891,0.186,0.378,0.355,0.335
YHR176W,-0.2515,0.315,0.422,0.466,0.5005,0.5525,0.274,-0.054
YAL010C,0.229,0.218,0.527,0.489,-0.238,-0.143,0.573,0.292
YLL060C,-0.282,0.746,0.216,0.029,-0.792,-0.082,-0.199,-0.274
YIL124W,1.0205,2.0505,2.2175,2.2635,2.189,1.106,0.917,0.8485
YMR020W,0.364,0.707,1.586,1.572,1.468,0.74,0.584,0.263
YOR239W,-0.106,-0.058,-0.606,-0.683,-0.823,-0.7,-0.083,-0.274
YJR079W,-0.055,0.5015,0.847,0.9575,0.8385,0.314,0.251,0.4235
YLR024C,0.288,0.295,0.9335,1.3825,0.3625,0.2765,0.4335,0.6135
YNL251C,-0.252,-1.435,-1.63,-1.202,-1.662,-1.245,-0.5215,-0.7455
YGR054W,-0.714,-0.932,-0.407,-0.684,-0.993,0.178,-0.055,-0.536
YML087C,0.001,0.7625,1.2035,0.7354,0.2605,0.2505,-0.2285,-0.5365
YMR203W,-0.085,-0.101,0.1651,-0.021,0.042,-0.047,-0.285,-0.437
YLR186W,-1.662,-2.647,-2.522,-1.6026,-2.221,-1.684,-0.718,-0.735
YNL008C,1.283,0.411,0.408,1.575,0.318,1.1585,0.7535,0.5465
YNL031C,0.141,0.032,-0.345,0.059,-0.288,-1.453,0.413,0.121
YBR130C,0.129,0.014,-0.2255,-0.1475,-0.0475,-0.611,-0.18,0.0955
YDL152W,-0.755,-1.59,-3.304,-2.545,-2.782,-1.548,-0.972,-0.439
YDR527W,-0.581,-0.959,-1.261,2.228,-1.484,-0.89,-0.032,0.119
YGL004C,0.835,0.935,1.227,1.247,1.144,0.263,0.804,0.395
YOR318C,0.194,-0.212,0.0,2.03,-0.723,-1.893,0.098,-0.3062
YLR346C,0.41,0.377,-0.104,0.036,-0.055,0.952,-0.084,0.216
YML061C,0.806,-0.239,-0.277,-0.367,-0.401,0.064,0.032,-2.322
YPL127C,0.8425,0.648,1.2635,1.4099,1.2725,0.4165,1.2205,1.346
YKR032W,0.445,1.423,0.277,0.6251,-1.021,-0.862,-0.593,-1.237
YLL040C,1.185,0.8875,1.1905,1.8835,0.714,0.404,1.2195,-0.2535
YPL182C,-0.155,-0.813,-0.095,0.13,0.052,0.317,0.053,0.522
YFR036W,-0.324,0.26,-0.441,-0.1193,-0.52,0.227,0.147,-0.158
YLR095C,0.312,0.341,0.041,0.411,-0.119,-0.829,-0.014,0.017
YJL165C,0.8295,0.8835,1.4715,0.4611,0.84,-0.5485,0.024,0.094
YDR162C,0.14,0.0,0.069,0.184,0.319,0.108,0.337,0.387
YHR054C,-0.128,0.4075,0.21,0.3745,0.383,0.271,0.919,1.116
YJL125C,-1.342,-1.366,-1.985,-1.7055,-2.022,-1.1805,-0.5555,-0.3375
YNL338W,0.7725,0.367,0.6995,0.7719,0.049,-0.0385,-0.2075,-0.6725
YDR482C,-0.27,0.106,-0.51,-0.173,-0.321,-0.511,-0.026,0.235
YBL017C,0.704,-0.6485,0.134,0.029,0.13,-0.4155,-0.631,-2.699
YDL043C,-0.072,0.017,-0.349,-0.064,-0.279,-0.124,0.213,0.009
YPL043W,-0.871,-2.829,-4.246,-2.686,-4.0,-1.47,-1.37,-0.895
YNL044W,-0.2895,0.3595,-0.028,-0.1291,-0.658,-0.438,-0.2405,-0.4005
YKL130C,2.442,1.277,3.0682,4.492,3.7,2.907,-1.392,3.3354
YBL067C,-0.186,-1.35,-0.484,-0.018,-0.412,-0.055,-0.283,-0.513
