YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YDR358W,2.055,2.138,2.604,2.781,2.612,0.874,1.052,1.103
YLL004W,-0.211,0.335,-0.593,-0.351,-1.35,-0.585,-0.533,0.1
YDR254W,0.571,0.643,1.019,-0.66,1.058,0.655,0.35,0.138
YMR096W,-0.042,-0.431,0.474,-0.215,-0.026,0.965,0.158,0.265
YLR255C,0.994,0.821,0.767,0.24,0.639,0.01,-0.168,-0.014
YML110C,0.246,0.819,1.216,1.374,1.32,0.633,0.641,0.525
YMR311C,1.064,1.525,1.163,1.466,1.521,0.148,0.782,0.957
YER169W,-0.009,-0.385,0.344,0.391,0.346,-0.401,0.018,-0.951
YBR005W,0.56,1.191,1.321,0.865,1.028,1.023,0.254,-0.039
YHR091C,-0.0705,0.44,0.49,0.4155,0.279,-1.129,0.037,0.161
YPR028W,0.426,1.54,1.467,1.2604,1.38,0.435,0.172,-0.193
YOR279C,0.416,0.767,-0.185,0.295,-0.029,-0.287,-0.114,0.443
YML047W-A,1.545,1.279,-1.67,0.217,-0.202,-0.274,0.797,-0.862
YJR130C,0.136,-0.2465,0.452,1.4122,0.591,-0.0685,0.6705,0.3925
YIL030C,-0.6085,-1.231,-0.5815,-0.7395,-0.9745,-0.0035,-0.286,-0.598
YML018C,-1.579,-1.519,-1.908,-2.303,-2.139,-0.951,-0.995,-0.796
YJR117W,0.286,1.171,1.2,0.8595,0.4935,0.6615,-0.009,-0.2285
YDR257C,-0.154,-0.596,0.068,0.645,-0.089,-0.384,-0.177,-0.135
YGR155W,-0.159,-0.976,-0.974,-0.191,-0.743,0.07,-0.124,-0.181
YLR455W,0.149,0.745,0.322,0.087,0.075,-0.388,0.103,0.182
YBL049W,-0.012,0.629,1.303,0.687,0.847,1.056,0.275,0.184
YNL168C,0.147,0.988,0.646,0.488,0.028,0.487,0.403,0.113
YCL054W,-2.29,-3.412,-3.545,-3.187,-2.942,-1.717,-0.534,-0.408
YOL125W,-0.743,-1.913,-2.564,-2.016,-2.585,-0.646,-0.481,-0.519
YDL068W,-0.015,0.477,-0.344,-0.084,-0.329,-0.664,-0.269,-0.12
YPR162C,0.404,0.846,0.483,0.695,0.094,0.475,0.054,0.146
YLR042C,-0.492,-0.442,-0.869,-0.932,-1.287,-0.163,-0.294,-0.635
YDL081C,0.043,0.013,-1.296,-2.028,-2.374,-2.35,-1.513,-1.488
YIL113W,2.127,2.8285,2.7825,2.5592,2.181,1.322,0.291,-0.191
YOR353C,0.885,1.155,0.828,1.472,0.164,0.888,-0.139,0.441
YBR041W,0.101,1.249,0.33,-0.06,-0.505,-0.147,-0.785,-2.712
YML007W,-0.112,0.085,0.401,0.594,0.511,-0.042,0.462,0.165
YDR199W,0.351,1.215,0.758,0.648,0.461,0.17,0.461,0.519
YOL049W,0.249,-0.126,0.26,0.403,0.384,-0.02,-0.163,0.073
YHR012W,-0.077,0.794,0.5935,0.5765,0.2235,0.218,-0.0025,-0.034
YCR052W,-0.081,-0.298,-0.296,0.171,-0.194,-0.373,0.03,-0.123
YNL253W,0.12,0.141,0.115,0.38,0.308,0.339,0.203,0.015
YDR180W,-0.143,-0.068,-0.154,0.093,0.3,-0.321,-0.006,-0.232
YPL058C,0.99,0.7535,0.425,1.085,0.434,0.0705,0.406,-0.0155
YLR193C,0.632,1.331,1.013,1.071,0.885,0.447,0.031,0.282
YHR019C,-0.1115,-0.8745,-1.0495,-1.3625,-1.6245,-1.6775,-0.634,-0.7585
YJL206C,0.231,1.1675,0.1965,0.2855,-0.275,0.0515,-0.04,0.0185
YML097C,-0.816,-1.087,-0.898,-0.765,-0.693,-0.5165,-0.0945,-0.044
YJL008C,-0.6585,-0.8725,-0.3745,-0.854,-1.236,-0.4205,-0.4025,-0.548
YLR063W,-2.253,-1.03,-1.75,-1.4607,-2.373,-1.006,-0.583,-1.057
YDR355C,-0.03,0.373,-0.269,-0.658,-0.385,-0.662,0.059,0.122
YDR287W,0.729,1.516,1.814,1.699,1.632,1.73,0.981,0.939
YGL064C,-0.336,-1.427,-0.72,3.893,-0.723,-0.392,-0.053,-0.839
YHR148W,-1.292,-1.6105,-3.0225,-1.8445,-2.0375,-1.108,-0.3755,-0.414
YIL070C,2.7315,4.5825,0.7075,2.8926,1.4535,2.204,-0.2575,0.456
YMR114C,1.108,1.932,1.763,1.583,1.556,0.6331,0.278,0.612
YPL094C,-0.716,-0.998,-1.107,-0.975,-1.044,-0.85,-0.209,-0.391
YAR053W,0.138,0.232,0.036,-0.0856,-0.423,0.894,-0.148,-0.057
YJR096W,0.7805,2.743,3.153,3.5685,3.311,1.7803,1.2175,1.3795
YPR056W,-0.403,0.009,-0.76,-0.616,-1.007,-0.465,-0.188,-0.057
YNR009W,-0.118,-0.538,-1.596,-1.424,-2.0,-1.871,0.02,0.192
YEL071W,0.45,0.967,1.351,1.39,1.14,0.942,0.201,-0.147
YER011W,0.6615,0.9295,0.0675,-0.1515,0.03,-0.005,-0.601,-0.7575
YOL022C,-0.376,-1.069,-2.578,-1.943,-2.43,-1.397,-0.366,-0.231
YEL032W,-0.005,-0.3135,0.01,0.0245,-0.4745,-0.1355,-0.7405,-0.8915
YOR118W,-0.429,-1.129,-0.313,1.376,-0.393,-0.65,0.037,-0.396
YJR043C,-0.572,-0.7,-1.1345,-1.9085,-1.1745,-1.227,-0.0855,-0.2375
YBR186W,-0.913,-0.16,-0.252,-0.744,-0.746,-0.504,-0.208,-0.311
YPR174C,-0.505,0.765,-0.808,-0.952,-1.297,-0.284,-0.014,-0.528
YNL148C,-0.249,0.33,-0.075,-0.0248,-0.541,0.021,-0.555,-0.735
YOR238W,0.237,0.065,-0.056,0.309,0.152,0.289,0.81,0.799
YKR056W,-2.701,-3.646,-4.01,-3.863,-3.872,-1.682,-1.103,-0.838
YMR215W,0.146,-0.033,-0.384,-1.103,-1.193,-0.505,0.026,0.119
YPR008W,0.538,1.1,0.896,1.077,0.665,0.318,-0.203,-0.127
YMR166C,0.182,0.86,0.76,0.979,0.681,0.507,0.709,0.285
YER017C,-0.0285,0.2685,0.4575,0.5055,0.2255,0.225,0.163,0.046
YOR134W,1.219,2.535,3.793,1.756,3.165,1.372,0.41,-0.727
YMR211W,-0.404,-0.555,-0.4338,-0.618,-0.761,-0.68,-0.142,-0.165
YMR233W,-0.525,-0.53,-0.742,-0.204,-0.322,-0.608,0.101,-0.029
YGR164W,0.7695,0.16,-0.6845,-0.6445,-0.6905,-0.3605,-0.788,-1.188
YDL007W,0.351,0.939,0.972,1.175,1.028,0.442,0.483,0.377
YPR106W,-0.602,0.002,0.044,-0.036,-0.353,-0.172,-0.155,-0.61
YGL044C,-0.37,-0.629,-0.443,-0.042,-0.143,-0.557,-0.182,0.021
YDL207W,1.67,1.772,0.601,1.9819,1.103,1.28,0.222,3.138
YPR062W,-0.0635,0.4015,-0.4975,-0.552,-0.8095,-0.658,-0.2095,-0.0665
YNR001C,1.566,3.326,4.053,0.663,3.531,2.832,0.889,0.746
YNL086W,0.856,1.062,0.078,0.081,-0.533,2.9,0.135,-0.05
YBL016W,-0.997,-0.92,-0.64,-0.656,-0.706,0.063,-0.157,-0.475
YGR207C,0.637,1.233,0.843,1.294,1.188,0.829,1.192,1.4185
YOL052C-A,2.525,3.196,4.524,4.423,3.914,4.049,1.795,0.193
YDL178W,-0.281,-0.738,-0.207,0.167,0.163,0.158,0.262,0.139
YLR311C,1.369,1.815,0.646,1.026,0.672,0.485,-0.499,-0.572
YOR287C,-0.966,-1.639,-3.97,-2.641,-2.174,-2.111,-0.286,0.498
YGR025W,0.555,0.377,0.73,0.444,0.423,-0.213,-0.031,-0.284
YMR182C,0.548,1.315,0.535,0.529,0.239,-0.165,-0.111,0.452
YPL010W,-0.086,0.274,-0.131,-0.146,-0.392,-0.529,-0.361,-0.113
YBR098W,0.7305,0.6275,0.4455,0.2745,0.043,0.0365,0.266,0.413
YDL022W,2.955,3.649,3.267,2.868,2.778,2.008,1.813,1.683
YDR480W,0.12,0.35,-0.041,0.069,-0.055,-0.036,0.699,0.491
YFR005C,-0.379,-0.414,-0.719,-0.787,-0.922,-0.523,-0.86,-0.932
YHR060W,0.2465,0.372,-0.7095,0.1195,-0.082,-0.2665,0.603,0.8565
YPR049C,0.527,0.321,0.1195,0.6665,0.035,0.228,0.504,0.7425
YGR245C,-0.7535,-2.6095,-5.097,-5.457,-5.1995,-3.444,-1.3965,-1.0535
YMR292W,0.374,0.722,-1.122,-0.833,-0.778,-0.817,0.113,-0.684
YAL030W,0.058,0.653,0.506,0.117,0.178,-0.146,0.008,-0.05
YLR229C,-0.332,-0.442,-0.416,-0.929,-0.862,-0.355,-0.482,-0.531
YJL061W,0.801,0.193,0.8153,1.6157,0.1663,0.1867,0.1357,0.7917
YKL005C,-0.365,0.0115,-0.186,0.0735,-0.334,0.041,-0.094,0.208
YOR008C,0.637,0.678,1.06,0.911,0.966,0.081,0.343,0.205
YBR015C,-0.466,-0.34,-0.038,-0.563,-0.818,0.111,-0.065,-0.432
YJR073C,0.5455,2.255,1.2565,2.725,2.4985,1.956,1.3425,0.824
YOL120C,-0.084,-0.628,-1.502,-1.797,-1.766,-1.414,-0.488,-0.654
YKL157W,0.045,-0.05,1.122,0.773,1.013,0.989,0.643,0.486
YER004W,0.026,1.0145,0.9655,3.0685,0.3765,0.86,0.4685,0.1335
YNL069C,-0.203,-0.616,-1.415,-1.674,-1.976,-1.761,-0.713,-0.691
YGL025C,0.142,0.555,0.232,-0.004,-0.253,0.116,-0.133,-0.217
YLR381W,1.539,1.324,0.8902,1.0639,-0.162,-0.27,0.378,-1.843
YDR237W,1.446,1.6835,1.1175,3.022,1.3436,1.425,0.568,1.1153
YPL023C,1.164,0.853,0.385,0.4588,-0.492,1.156,0.535,-0.573
YNL262W,0.19,-0.171,-0.594,1.032,-1.03,-0.3735,-0.31,-0.5655
YDR261C,-0.025,0.426,0.648,1.0283,0.345,0.759,0.753,0.732
YKR041W,5.328,6.634,1.0,2.126,2.4997,3.3519,2.585,5.087
YMR164C,0.105,0.37,0.598,4.591,0.162,-0.1,-0.293,-0.386
YDR510W,0.205,0.481,0.026,0.22,0.146,-0.699,0.253,0.211
YLR216C,2.178,3.219,3.481,3.176,2.876,2.456,2.336,1.725
YML088W,-0.511,0.267,0.11,0.0919,-0.306,-0.046,-0.286,-0.257
YNR070W,2.1765,2.5469,1.4012,1.5932,0.3515,0.612,0.679,1.7603
YEL053C,-0.047,0.415,-1.047,-0.824,-1.165,-0.627,-0.848,-0.979
YGL113W,0.057,0.472,-0.546,-0.741,-0.724,-0.346,0.094,0.141
YJL161W,1.0575,3.198,3.34,3.39,3.0215,1.284,0.5415,-0.0505
YML095C,-0.108,0.322,-0.122,2.067,-0.266,-0.363,-0.145,-0.227
YMR133W,1.271,1.421,1.711,1.931,1.793,0.943,0.594,0.126
YDL202W,-0.442,-0.541,-0.456,0.925,-0.111,-0.153,-0.257,-0.416
YOR337W,1.063,0.802,0.536,1.8455,-0.137,0.8255,0.569,0.7955
YKL088W,0.403,0.457,0.574,0.75,0.319,-0.163,0.397,0.311
YJL159W,0.244,1.133,1.958,3.491,1.978,1.641,0.5695,0.1165
YCR099C,0.5,0.982,0.802,0.525,0.032,0.175,-0.163,-0.689
YDR129C,0.55,1.437,2.102,1.904,1.626,1.363,0.518,0.109
YPL027W,1.222,0.615,1.307,-0.054,0.799,0.515,-0.939,-0.6163
YOR183W,1.393,1.439,-4.585,-0.302,-1.474,0.0,-1.874,-1.295
YPR072W,0.397,0.744,0.135,0.3,0.15,0.125,0.29,0.24
YPR079W,0.861,1.657,1.654,1.408,1.343,0.805,0.423,0.457
YOR121C,0.43,2.395,2.198,2.149,2.43,0.96,0.053,-0.386
YJR141W,-0.5605,-0.1965,-0.968,3.745,-0.8295,-0.643,0.0695,0.38
YDL120W,0.059,-0.092,-0.314,0.1319,0.164,-0.731,-0.314,-0.236
YGR032W,0.6445,0.2235,0.9145,1.8675,-0.1775,1.0645,0.992,0.7165
YOR352W,1.524,2.09,1.711,1.662,1.239,0.4,0.617,0.382
YMR021C,-0.25,0.283,0.289,0.102,-0.162,-0.358,-0.093,0.011
YPR156C,-0.202,-0.231,-0.562,-0.869,-1.302,-0.217,-0.511,-0.335
YPL142C,-0.067,-0.691,-1.892,-1.761,-1.932,-1.577,-0.448,-0.915
YAL027W,0.145,0.503,0.204,0.026,0.188,0.242,-0.024,0.075
YBR267W,-2.827,-2.82,-3.032,-2.733,-3.366,-2.397,-1.097,-0.736
YNL079C,0.431,0.195,0.129,0.447,0.667,-0.102,0.244,0.691
YAR002W,-0.183,-0.643,-0.536,-0.312,-0.436,-0.619,-0.209,-0.12
YDR369C,0.16,0.723,0.884,0.529,0.309,0.49,0.289,0.345
YJR118C,0.117,0.366,-0.1025,0.0965,-0.1015,-0.4985,-0.321,-0.3965
YBL005W-A,-0.026,-0.178,0.256,0.054,-0.361,0.294,0.286,0.203
YGR092W,0.297,0.706,0.863,2.582,0.518,0.073,-0.24,0.279
YLR062C,-0.272,-0.997,-2.174,0.11,-2.343,-2.188,-0.883,-0.767
YCL055W,-0.006,0.062,-0.217,0.066,-0.122,0.0,0.361,0.465
YGL078C,-1.935,-4.901,-4.33,-1.515,-3.709,-1.968,-0.938,-0.563
YER052C,-0.11,-0.589,-0.652,-0.872,-1.02,-0.158,-0.311,-0.368
YOR227W,0.6,0.515,1.375,3.398,1.0,0.778,0.076,0.136
YPL141C,0.411,-0.26,-0.342,-0.312,-0.829,-1.038,-0.698,0.234
YBR129C,-0.569,-0.118,-0.373,-0.339,-0.395,-0.222,-0.322,-0.276
YPR004C,0.568,1.107,0.942,0.883,0.519,0.353,0.747,0.833
YDL108W,0.65,-0.282,0.057,0.946,-0.234,-0.023,0.197,-0.079
YNL051W,0.05,0.275,0.386,0.342,0.462,-0.202,0.122,0.385
YLR327C,5.783,6.488,5.954,5.645,5.778,3.412,2.478,3.467
YNL078W,-0.944,-0.235,0.281,-0.014,-0.16,-0.437,-0.628,-1.166
YJL045W,1.726,1.7105,1.866,2.526,1.8275,2.129,0.5045,0.244
YJR014W,0.0345,0.0865,-0.2595,-0.3375,-0.582,-0.8355,0.031,0.2485
YLR401C,-1.644,-4.37,-3.667,-3.155,-2.889,-0.878,0.268,-0.759
YBR213W,0.592,-0.551,-0.494,-1.276,-0.83,-0.139,-0.631,-2.48
YKL176C,-0.947,-1.838,-1.151,-0.202,-1.126,-0.996,-0.744,-0.534
YNL167C,0.185,0.719,0.428,0.408,0.271,-0.15,-0.142,-0.099
YOL119C,-0.248,0.279,1.165,0.909,0.836,1.209,0.2,-0.027
YNL102W,0.5375,0.267,-1.8565,-0.02,-0.6365,0.4735,0.5595,0.4475
YLR267W,0.596,1.809,2.718,1.366,2.109,0.666,0.5,0.206
YNL166C,0.218,0.24,-0.315,-0.102,-0.556,0.307,1.206,0.98
YJL133W,-0.777,0.025,-0.625,-1.0035,-1.212,-0.498,-0.7775,-0.9425
YJR034W,1.1075,1.2185,0.1465,0.769,0.2445,-0.1935,0.3515,0.224
YBR274W,-0.161,0.444,0.847,-0.159,-0.445,0.152,-0.132,-0.281
YGR285C,-0.263,-0.7635,-1.162,1.1465,-1.2065,-1.376,-0.5085,-0.4725
YAR050W,0.429,0.6225,0.8665,0.6995,-0.336,0.3345,0.3615,0.4135
YJR116W,0.248,0.477,-0.822,-0.302,-0.4885,-0.468,0.1825,0.07
YHR095W,1.2035,2.2175,0.5882,1.1012,1.4265,1.0105,0.2064,1.496
YLR376C,0.523,0.503,0.24,1.015,0.098,-0.576,0.68,2.455
YGL129C,0.336,0.68,0.926,0.877,0.877,0.244,0.232,0.324
YGL158W,0.388,-0.762,0.068,4.968,-0.681,-1.0,-1.069,-0.6342
YPR125W,-0.098,-0.435,-0.855,-1.422,-0.693,-1.358,-0.443,-0.301
YOR054C,0.924,1.701,1.632,1.523,1.664,0.603,1.003,0.614
YKL103C,1.765,3.901,4.422,4.528,4.114,3.959,2.294,1.943
YDL042C,-0.15,-0.224,-0.464,0.005,-0.467,-0.369,-0.276,-0.092
YPR145W,-0.295,-1.123,-1.038,-0.951,-1.014,-0.777,-0.453,-0.718
YOR074C,0.213,0.164,-0.303,-0.521,-0.5,-0.493,0.597,-0.015
YLL006W,0.034,0.727,1.208,0.899,0.348,0.83,0.185,0.084
YGL258W,1.193,1.12,1.855,-0.562,1.919,1.02,0.904,0.935
YBR090C,0.521,1.481,1.25,0.669,0.597,0.103,0.186,-0.06
YBL024W,-0.963,-2.084,-2.122,-2.184,-2.218,-1.409,-0.815,-0.846
YDR531W,-0.149,0.194,0.012,1.474,-0.264,-0.339,-0.298,-0.368
YLR089C,-0.138,0.084,1.403,1.433,1.178,1.219,0.212,-0.021
YER124C,-0.308,0.083,0.768,0.924,0.813,1.544,1.049,0.596
YIL169C,0.5225,0.874,1.6645,1.8815,1.5275,1.4585,0.3905,0.3655
YMR204C,0.798,0.975,0.435,1.043,0.197,0.326,-0.345,0.447
YLR324W,0.415,1.268,1.854,1.201,1.216,1.272,0.248,0.439
YOR384W,0.7995,-0.065,0.7265,0.1815,0.4745,0.516,-0.1375,-0.6745
YDL045W-A,0.706,1.051,0.3095,1.335,0.337,-0.0355,0.0535,-0.226
YMR172W,-0.48,-0.168,-0.014,0.4034,-0.488,0.195,0.063,-0.125
YDR123C,0.159,0.336,0.37,0.198,0.15,0.344,0.523,0.555
YJL003W,0.207,0.8155,0.103,0.487,0.2425,-0.0435,0.1765,-0.02
YPR118W,-0.287,-0.755,-1.907,-1.8254,-1.97,-1.451,-0.869,-0.892
YFR055W,-0.776,-0.311,-0.296,-0.511,-0.523,-1.04,-0.874,-1.14
YCR020C-A,0.023,-0.388,-0.388,-0.479,0.022,0.353,0.604,0.625
YJL002C,-0.5055,-0.3405,-0.3705,-0.7605,-1.13,-0.09,-0.335,-0.7605
YCL018W,0.193,0.614,1.015,0.697,0.776,0.746,0.381,0.21
YLR122C,0.043,0.861,-0.138,0.524,-1.39,-0.688,-0.529,-1.807
YHR033W,1.183,1.3757,1.0627,0.6687,1.1667,0.6857,-0.3103,0.341
YMR149W,-0.336,-0.644,-0.186,0.807,-0.371,-0.402,-0.146,-0.621
YMR078C,-0.289,-0.459,-0.792,-0.821,-1.128,-0.164,0.51,0.165
YGR068C,0.365,0.173,0.646,0.048,0.3,0.29,0.105,-0.11
YBR048W,-0.175,-0.55,-1.3425,0.8255,-1.976,-1.7005,-1.111,-1.223
YLR427W,0.155,0.086,0.019,0.944,0.677,0.589,0.183,1.364
YJR039W,1.0545,0.4645,1.4155,3.08,1.241,0.1335,0.3005,-0.692
YIL009W,-0.686,-1.412,-0.6185,0.9687,-0.7495,-0.1915,0.0525,-0.0315
YHR153C,0.085,0.166,-0.3925,-1.5875,-1.1645,-0.256,0.305,-0.0895
YJL016W,0.401,0.758,1.8615,1.584,1.705,1.1045,0.507,0.31
YPR135W,0.4635,0.625,-1.3005,0.918,0.185,0.633,0.176,-0.2568
YOR112W,0.204,0.017,0.245,0.406,0.299,0.298,0.052,0.061
YMR252C,0.384,1.633,1.576,1.389,0.791,0.851,0.306,0.139
YJL087C,-0.7975,-1.345,-1.743,-1.057,-1.037,-0.6575,-0.004,-0.145
YPR141C,0.559,0.206,-0.598,-0.104,-0.564,-0.751,0.807,0.866
YML038C,-0.769,-0.073,-0.187,-0.733,-1.105,-0.676,-0.941,-0.712
YBR073W,-0.022,-0.591,-0.707,-0.501,-0.805,0.142,0.736,0.441
YBL065W,0.056,-1.0,-0.209,0.625,0.114,0.111,0.285,-0.98
YGL062W,1.194,1.4605,2.8935,1.461,3.078,2.4865,1.1715,0.9175
YBL004W,1.8155,1.967,1.1415,2.0345,1.48,1.279,0.9073,1.631
YPR055W,1.0,0.541,0.479,0.877,0.637,0.366,0.391,0.505
YPR131C,-0.085,0.354,-0.427,1.55,-0.307,-0.457,-0.103,0.155
YDR149C,-0.251,-0.14,-0.667,-0.059,-0.205,-0.496,-0.009,0.249
YNL158W,0.626,0.75,0.474,0.674,-0.197,0.017,0.653,0.329
YPL154C,0.713,1.807,2.195,2.236,1.961,1.426,0.84,0.373
YCR035C,-0.999,-0.787,-1.251,-3.636,-0.996,-0.725,-0.476,-0.427
YLR370C,0.435,1.351,1.377,1.1763,0.959,0.423,0.184,-0.029
YGL009C,-0.053,-0.43,-0.332,-0.554,-0.569,-0.118,0.208,-0.093
YOR266W,0.181,-0.4985,-0.1919,-0.174,-1.253,-0.7265,-0.498,-2.0965
YIL135C,0.4615,1.0655,0.0575,0.871,0.257,0.6075,0.0505,-0.0645
YGL028C,-1.636,-1.042,0.013,0.015,0.214,0.232,0.139,-0.293
YDR543C,-0.717,0.065,-0.135,0.0937,-0.768,0.049,-0.639,-1.032
YER073W,-0.368,-1.496,-1.493,-1.954,-1.605,-0.561,-0.098,-0.296
YFL064C,-0.547,-1.578,-0.65,-0.558,-0.528,-0.181,-0.166,-0.204
YOR014W,-0.267,-0.427,0.538,0.25,0.233,-0.339,-0.398,-0.526
YDR142C,0.392,0.104,0.256,0.154,0.21,-0.01,-0.367,-0.076
YPL030W,2.111,2.8175,0.834,2.59,1.761,4.438,2.328,1.5576
YML024W,0.053,-0.205,-1.177,-1.867,-2.033,-1.775,-0.787,-0.677
YNL116W,0.214,0.5,0.479,0.381,-0.155,0.899,0.834,0.929
YMR212C,-0.542,-0.959,-0.479,-0.976,-0.888,-0.685,-0.794,-0.645
YFR031C-A,-0.126,-0.689,-1.843,-2.053,-2.329,-1.475,-0.756,-0.691
YNR068C,2.04,2.2815,1.2499,2.4551,1.1745,2.085,1.8085,0.679
YOL027C,-0.361,-0.546,-0.604,-0.365,-0.526,-0.362,0.091,-0.317
YOR251C,-0.263,-0.119,-0.557,-0.916,-1.099,-0.447,-0.785,-0.663
YNL245C,-0.144,0.343,0.117,-0.03,0.021,-0.087,0.151,-0.003
YMR241W,-0.644,-1.718,-1.618,-1.476,-1.479,-1.179,-0.305,-0.272
YNL219C,-0.404,-0.521,-0.415,-0.731,-0.726,-0.928,-0.596,-0.984
YMR301C,-0.634,-1.557,-1.672,-1.972,-2.067,-0.634,-0.764,-0.549
YNR050C,-0.279,-0.911,-0.626,-1.054,-0.84,-0.783,-0.759,-0.956
YOL121C,-0.18,-0.669,-1.91,-1.914,-2.133,-1.528,-0.783,-0.478
YNL246W,0.024,0.384,0.273,0.13,-0.199,0.3,-0.078,-0.059
YGR091W,-0.197,-0.802,-0.372,-0.343,-0.073,-0.177,-0.073,0.007
YIL150C,-1.1535,-1.0855,-1.1205,-0.9935,-0.944,-0.7487,-0.3935,0.0235
YLR184W,0.394,1.138,-0.06,-2.278,-0.17,-0.396,0.138,0.2971
YCL038C,-0.073,0.139,0.682,0.138,0.373,0.322,0.09,0.175
YIL107C,1.0715,2.092,2.137,2.2235,1.9595,1.9185,1.1175,0.9395
YGL159W,-0.086,0.555,0.235,1.807,0.128,-0.327,-0.146,0.065
YOR132W,0.528,0.876,1.132,1.302,0.994,0.005,0.121,-0.003
YNR023W,0.208,0.473,0.337,0.439,0.096,0.2,0.0,0.522
YPL212C,-0.758,-2.2725,-2.8775,-0.0235,-2.504,-0.5295,-0.323,-0.608
YPR167C,-0.43,-0.113,-0.396,-0.082,-0.438,-0.172,0.106,0.12
YMR314W,0.23,0.243,0.388,0.484,0.594,0.122,0.127,-0.011
YJL030W,1.0743,1.2367,1.4693,2.3134,0.18,-0.0757,-0.2593,0.3766
YHL020C,-0.398,-0.0445,-0.0635,-0.449,-0.684,-0.0965,-0.1685,-0.537
YGL061C,0.346,-0.309,-0.427,0.4992,-0.443,-1.239,-0.062,-0.487
YML094C-A,0.175,-0.384,-1.713,-0.235,-0.578,-0.432,-0.61,0.035
YDR079W,-0.135,0.719,0.529,0.556,0.186,0.654,0.607,0.352
YJR006W,2.525,2.6625,1.7302,2.3095,1.5213,1.25,1.037,0.8054
YOR060C,0.141,0.335,0.144,0.359,0.04,-0.397,0.134,0.16
YBL092W,0.198,0.01,-1.265,-1.354,-1.775,-1.757,-0.688,-0.431
YBR282W,0.308,0.785,0.473,0.773,0.739,0.36,0.404,0.574
YDR443C,-0.176,0.062,0.39,0.0811,-0.01,0.398,0.049,-0.25
YDR294C,0.214,0.59,1.09,0.942,1.038,0.918,0.493,0.499
YGR109C,0.7935,1.732,-0.824,0.06,0.5529,1.615,1.1025,0.5391
YBR060C,-0.049,-0.663,-0.691,1.28,-0.275,-0.585,0.0,0.079
YIL141W,0.324,0.5055,-1.2405,-1.155,-0.703,0.179,0.119,-0.3885
YHR115C,0.4315,0.7065,0.885,1.087,0.6065,0.243,0.1405,0.319
YNL072W,-0.765,-0.221,-1.098,-1.225,-1.69,-0.679,-0.201,-0.846
YDL066W,-0.159,-0.268,-0.245,-0.091,-0.269,-0.276,-0.029,-0.038
YLR263W,-0.208,-0.159,0.0,0.408,-1.141,-2.515,-0.698,-2.794
YDL219W,0.301,0.231,-0.249,-0.311,-0.257,-0.266,0.497,0.378
YNR039C,-0.421,0.421,-0.061,-0.345,-0.444,0.221,-0.394,-0.264
YLR409C,-1.672,-4.088,-4.0606,-3.474,-3.176,-1.59,-0.818,-0.668
YPL070W,0.118,0.384,0.506,0.7,0.548,-0.13,0.247,0.388
YOR091W,-0.768,-2.076,-3.01,-1.939,-2.688,-0.519,0.313,0.255
YKL167C,0.077,0.993,0.548,0.8371,0.407,-0.066,0.042,-0.005
YFL050C,-0.7205,0.757,0.403,0.6455,-0.4255,-0.363,-1.2115,-1.0185
YFR054C,0.619,-0.087,2.334,0.851,-0.71,0.248,-1.193,-0.544
YGR127W,1.232,1.8105,2.0945,1.8015,2.0255,0.702,0.734,0.4585
YAL041W,0.381,0.767,0.48,0.02,-0.27,0.031,-0.082,-0.2
YOL146W,-0.131,-0.232,-0.473,-0.174,-0.435,-0.303,0.358,0.282
YPL282C,0.022,0.296,-0.033,0.58,0.438,0.045,0.136,-0.38
YMR179W,-0.552,-1.042,-1.22,-0.584,-1.089,-0.406,0.071,-0.142
YMR290C,-0.781,-2.333,-3.64,-3.112,-3.689,-2.627,-0.988,-1.127
YHR151C,3.0105,2.371,0.501,5.9381,2.3287,2.7465,1.7625,2.1532
YOR369C,0.29,0.241,-1.398,-1.705,-2.084,-1.014,-1.084,-0.54
YKL145W,0.169,0.748,0.804,0.774,0.761,0.534,0.341,0.233
YGR197C,0.6365,0.933,0.85,0.126,0.5455,1.6745,0.387,-0.0775
YAL018C,0.194,0.308,0.349,0.217,0.072,0.006,0.08,-0.04
YJL053W,0.631,1.325,1.245,1.496,0.755,0.693,0.379,0.278
YHR068W,0.0665,-0.145,-0.981,-1.215,-1.2965,-1.2565,-0.247,-0.433
YDL008W,-0.062,-0.279,-0.374,-0.407,-0.033,-0.025,0.189,0.389
YCR075C,0.34,1.02,0.997,0.528,-0.258,0.635,0.478,0.333
YOR020C,1.647,2.739,2.351,2.814,2.512,1.876,1.915,2.06
YER063W,-0.101,0.496,0.201,0.036,-0.275,0.014,-0.055,-0.333
YMR260C,0.403,0.15,-1.392,-1.1298,-1.424,-1.778,0.158,0.165
YGR264C,-0.3675,-1.2725,-1.599,-1.8475,-2.2015,-1.0345,-0.758,-0.855
YDL181W,1.191,3.117,3.464,3.034,3.064,2.089,1.523,1.368
YPR173C,0.04,0.34,-0.022,0.266,0.07,0.086,0.178,0.132
YLR113W,0.361,-0.011,0.456,0.694,0.611,0.059,0.386,0.129
YMR283C,0.193,-0.119,-0.283,-0.412,-0.262,-0.498,-0.236,2.375
YBL057C,-0.02,0.023,-0.085,-0.082,-0.179,-0.544,0.309,0.279
YGR183C,0.6305,1.1535,1.02,1.033,0.8015,0.4085,0.1555,-1.176
